date,port_ret
2014-07-21,0.00026535755814233175
2014-07-22,0.0008078119236736292
2014-07-23,0.003454412085885622
2014-07-24,-0.0033760421087809522
2014-07-25,0.02166396434952153
2014-07-28,0.002736563892624666
2014-07-29,-0.0009471096853656547
2014-07-30,0.008831360624649405
2014-07-31,-0.0032244314921147654
2014-08-01,-0.0006022679582190493
2014-08-04,-0.0006077787714437732
2014-08-05,-0.000354019484891388
2014-08-06,-0.0031920648370674376
2014-08-07,0.0007885564588906713
2014-08-08,-0.005702715137804598
2014-08-11,0.002179923086648744
2014-08-12,-0.0009626948047328499
2014-08-13,-0.0023273379609461964
2014-08-14,-0.008548961954175621
2014-08-15,0.005116294789914266
2014-08-18,0.003635589977721898
2014-08-19,0.004352341380602032
2014-08-20,-0.002828570729759533
2014-08-21,-6.678991793213074e-05
2014-08-22,0.002486355654187783
2014-08-25,-0.001628178516494827
2014-08-26,-0.003834557650983894
2014-08-27,-0.0020819969900941204
2014-08-28,0.0008565449007340853
2014-08-29,0.00434027654420352
2014-09-02,0.006094360761859513
2014-09-03,-0.011233011683390498
2014-09-04,-0.007064438855288374
2014-09-05,0.0034896318104493673
2014-09-08,0.002814371810469951
2014-09-09,0.009109685020228298
2014-09-10,0.006764701397269757
2014-09-11,9.909848835862323e-05
2014-09-12,0.001090689661033012
2014-09-15,0.004367531255644319
2014-09-16,-0.005138614385877427
2014-09-17,0.001454419195194595
2014-09-18,-0.0010720731989506405
2014-09-19,-0.00580435394747017
2014-09-22,0.006331001759854238
2014-09-23,0.004471777797045884
2014-09-24,-0.005975461283719313
2014-09-25,-0.0047702232572591485
2014-09-26,0.007239804511744108
2014-09-29,-0.0004694241157715273
2014-09-30,0.00043073843101748555
2014-10-01,0.0006076653065486687
2014-10-02,-0.00023496025945765608
2014-10-03,-0.004608666127497801
2014-10-06,-0.0002341930768515188
2014-10-07,0.004647990490744464
2014-10-08,0.0033442747056054434
2014-10-09,0.006791797228380275
2014-10-10,-0.000645319525013538
2014-10-13,0.004226361132920159
2014-10-14,-0.0055223192490245765
2014-10-15,-0.0004547548601387952
2014-10-16,-0.001754584877432297
2014-10-17,0.014719295025522522
2014-10-20,0.0013138784958648397
2014-10-21,0.0012295348912070292
2014-10-22,-0.0018109450979663655
2014-10-23,0.0028551990520550574
2014-10-24,0.03008942184934499
2014-10-27,-0.0035787717955972354
2014-10-28,-0.0031507026252983183
2014-10-29,-0.011208271327423192
2014-10-30,-0.018275430036439992
2014-10-31,-0.005971406703744242
2014-11-03,0.0007689533960544143
2014-11-04,0.008855207826069689
2014-11-05,0.0012679807886245564
2014-11-06,-0.0010790007672093482
2014-11-07,-0.003539445947388975
2014-11-10,-0.00450007437805422
